headline,label,sentiment
LIC પોલિસી ધારકો માટે મોટી ખબર! પ્રીમિયમ જમા કરવાનો નિયમ બદલાયો,business,positive
"VIRAL VIDEO: મસ્તમૌલા અંદાજમાં રણવીર સિંહ, ચાર્લી ચૈપલિનને આ રીતે આપ્યું ટ્રીબ્યુટ",entertainment,positive
શાહરૂખની સાથે ફિલ્મમાં કામ કરી ચુક્યો છે અનુષ્કાથી ઠપકો ખાધેલો વ્યક્તિ,entertainment,negative
"આજે અહીથી ખરીદો OnePlus 6, મળશે 25,000 રૂપિયા સુધીનો ફાયદો",tech,positive
સલમાન સાથે પંગા બાદ નથી મળતો 'સોરી' અને 'થેન્ક્યૂ'નો ચાન્સ,entertainment,negative
ફ્લાઈટમાં મોડુ થતાં હવે તમને મળશે રૂ. 20 હજાર! સરકારનો છે પ્રસ્તાવ,business,positive
"એક દિવસની રાહત બાદ ફરી પેટ્રોલના ભાવમાં ભડકો, રૂ. 89.60 પ્રતિ લિટર",business,negative
"સુકન્યા યોજનામાં 3 મોટા બદલાવ, 1000 નહીં હવે 250 રૂપિયામાં ખુલશે ખાતુ",business,positive
બાળકોની ગણેશ પૂજા કરતી તસવીર શેર કરી ટ્રોલ થઇ ફરાહ ખાન,entertainment,negative
"હવે WhatsApp ગ્રૃપમાં બોલીને મોકલી શકશો મેસેજ, માત્ર આ યુઝર્સને થશે ફાયદો",tech,positive
"અમદાવાદઃખેતરમાંથી સીધી હવે કેસર કેરી ગ્રાહકો સુધી પહોચશે,મેયરે કેરી મહોત્સવ ખુલ્લો મુક્યો",business,positive
"આઇડિયા-વોડાફોન એકબીજામાં ભળી જશે, બનશે દેશની સૌથી મોટી ટેલિકોમ કંપની",business,positive
મૃત વ્યક્તિઓને આવી રીતે જીવિત રાખવાની તૈયારીમાં વેજ્ઞાનિક!,tech,positive
"માત્ર 1947 રૂપિયામાં મળી રહ્યો છે 44 હજારનો ફોન, ફટાફટ કરો બુકિંગ",tech,positive
"મળી ગયું હોય બોનસ-ઇન્ક્રીમેન્ટ તો પહેલા કરો 3 કામ, નહીં રહે પૈસાની ટેન્શન",business,positive
#MeToo: સલમાન ખાન પર બિગ બોસની પૂર્વ સ્પર્ધકે લગાવ્યો બળાત્કારનો આરોપ,entertainment,negative
"હવે દેશભરમાં મળશે ઇન્ટરનેટ, PCO હેઠળ ખુલશે ડેટા સેન્ટરો",tech,positive
"સતત બીજા દિવસે પણ પેટ્રોલ-ડીઝલના ભાવમાં વધારો, આજે આ ભાવ છે",business,negative
માત્ર 10 હજાર રુપિયામાં બૂક કરાવો Maruti Ciaz,tech,positive
Lust Stories : ઓર્ગેઝમ સીનમાં લતાજીનું સોન્ગ યૂઝ થતા ગુસ્સે થયો મંગેશકર પરિવાર,entertainment,negative
"Paytmએ શરૂ કરી નવી સ્કીમ, બેન્કની FDથી વધારે મળશે નફો",business,positive
"ભારતની આ છે સૌથી મોંઘી કાર, આટલી કિંમતમાં તો તૈયાર થઇ જાય એક મહેલ",tech,positive
Startup India મુજબ નવો વેપાર શરૂ કરવા માટે આ રાજ્ય છે બેસ્ટ,business,positive
"મોદી સરકારની કાર ખરીદનારાઓને ભેટ, આ છે નવી પોલિસી",business,positive
સાવધાન! EPFOની વેબસાઇટમાંથી ડેટા ચોરી થતા તમને થઈ શકે છે આ નુકસાન,business,negative
ભડકે બળતા ભાવઃ રાજ્યના અનેક શહેરોમાં પેટ્રોલની કિંમત રૂ. 80ને પાર,business,negative
12000 વેબસાઇટ બ્લોક કરવા છતા ગણતરીનાં કલાકોમાં લિક થઇ ગઇ રજની-અક્કીની '2.0',entertainment,negative
"સોમવારે માલ્યાના પ્રત્યર્પણ પર આવી શકે છે ચુકાદો, CBI-EDની ટીમ બ્રિટન જવા રવાના",business,negative
સન ફાર્માના માલિકને એક ઈ-મેલે આપ્યો મોટો ઝટકો! 15 મિનિટમાં ડૂબ્યા 10 હજાર કરોડ,business,negative
હવે એરટેલનું ઈન્ટરનેટ પેક પણ થયું મોંઘુ,business,negative
મેહુલ ચોકસીના સહયોગી દીપક કુલકર્ણીની કોલકાત્તા એરપોર્ટથી ધરપકડ,business,negative
"સોનાલી બેન્દ્રે બાદ આ અભિનેત્રીને થયું કેન્સર, કહ્યું - 'ત્રીજા સ્ટેજ પર છું'",entertainment,negative
"ક્યારે પણ ન ખરીદો તમારા મોબાઈલ માટે આવું કવર, થઈ શકે છે ભારે નુકશાન",tech,negative
રિલાયન્સ ઇન્ડસ્ટ્રીઝના નફામાં 7398 કરોડનો થયો વધારો,business,positive
19 કરોડ લોકોના PAN કાર્ડ થઇ જશે રદ્દ! જાણો શા માટે,business,negative
"RBIએ નાના વેપારીઓને આપી મોટી રાહત, આ થશે ફાયદા",business,positive
"ભારતીય શેરબજારમાં કડાકો, સેન્સેક્સમાં 500 પોઇન્ટનો ઘટાડો",business,negative
"PUBGના લવર્સ માટે ખુશખબર, થયા નવા બદલાવ",tech,positive
"પર્સનલ લોન લેતી વખતે બેંક નથી જણાવતી આ બાબતો, તમને થાય છે મોટું નુકસાન",business,negative
"હવે ઇન્સ્ટાગ્રામ પર પણ કરી શકશો Payment,આવી રીતે કરશે કામ",tech,positive
"સેન્સેક્સમાં 115 પૉઇન્ટનો ઘટાડો, નિફ્ટી 10570ની પર બંધ",business,negative
"21 સરકારી બેંકો સાથે એક વર્ષમાં 25,775 કરોડ રૂપિયાની છેતરપિંડી: આરટીઆઈ",business,negative
"સુરતઃરાંદેર કો.ઓ.બેન્કોમાં ચલણી નોટો જ નથી,ગ્રાહકોને અપાયા 10-10 ના સિક્કા",business,negative
"RBIએ ફરી વધાર્યો રેપોરેટ, મોંઘી થશે ઘરની લોન, શું છે આ રેપોરેટ?",business,negative
TATA Motors : Rs. 180 પરથી આ શેર થોડા જ વખતમાં Rs.240 નજીક પહોંચી જશે!,business,positive
"LICની લિમિટેડ ઓફર, બંધ થયેલી પોલીસી આવી રીતે કરો શરૂ",business,positive
Dhadak screening: જાહ્નવી-ઇશાને પરિવાર અને સેલિબ્રિટી સાથે જોઇ ફિલ્મ,entertainment,positive
